,#iteration,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,1,inf,inf,15.87,5463.88
1,2,inf,inf,10.119,1532.662
2,3,inf,inf,7.575,1508.71
3,4,inf,inf,6.958,1506.545
4,5,inf,inf,7.254,1479.217
5,6,inf,inf,7.122,1487.646
6,7,inf,inf,7.545,1521.04
7,8,inf,inf,7.211,1519.545
8,9,inf,inf,7.56,1531.422
9,10,inf,inf,7.464,1531.863
10,11,inf,inf,7.507,1538.501
11,12,inf,inf,7.528,1542.826
12,13,inf,inf,7.449,1535.461
13,14,inf,inf,7.164,1533.166
14,15,inf,inf,7.493,1537.763
15,16,inf,inf,7.548,1544.684
16,17,inf,inf,7.56,1539.411
17,18,inf,inf,7.552,1537.776
18,19,inf,inf,7.528,1537.305
19,20,inf,inf,7.641,1565.612
20,21,inf,inf,7.511,1539.1
21,22,inf,inf,7.53,1534.116
22,23,inf,inf,7.532,1537.905
23,24,inf,inf,7.587,1540.715
24,25,inf,inf,7.512,1533.525
25,26,inf,inf,7.527,1538.459
26,27,inf,inf,7.526,1546.04
27,28,inf,inf,7.562,1536.661
28,29,inf,inf,7.567,1537.446
29,30,inf,inf,7.537,1536.979
30,31,inf,inf,7.561,1548.093
31,32,inf,inf,7.516,1534.694
32,33,inf,inf,7.53,1536.659
33,34,inf,inf,7.452,1538.25
34,35,inf,inf,7.533,1540.194
35,36,inf,inf,7.538,1536.361
36,37,inf,inf,7.536,1568.799
37,38,inf,inf,7.501,1541.822
38,39,inf,inf,7.585,1543.859
39,40,inf,inf,7.554,1538.391
40,41,inf,inf,7.546,1549.95
41,42,inf,inf,7.563,1536.618
42,43,inf,inf,7.54,1542.785
43,44,inf,inf,7.537,1534.859
44,45,inf,inf,7.518,1536.743
45,46,inf,inf,7.527,1539.063
46,47,inf,inf,7.598,1543.44
47,48,inf,inf,7.543,1535.937
48,49,inf,inf,7.502,1537.629
49,50,inf,inf,7.525,1544.047
50,51,inf,inf,7.564,1544.706
51,52,inf,inf,7.622,1537.205
52,53,inf,inf,7.528,1538.265
