,#iteration,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,1,inf,inf,9.16,859.095
1,2,inf,inf,7.218,845.495
2,3,inf,inf,6.769,833.35
3,4,inf,inf,6.835,833.705
4,5,inf,inf,6.948,838.617
5,6,inf,inf,6.814,839.222
6,7,inf,inf,6.893,831.531
7,8,inf,inf,6.756,833.322
8,9,inf,inf,6.869,831.653
9,10,inf,inf,6.788,831.546
10,11,inf,inf,6.805,830.613
11,12,inf,inf,6.8,851.19
12,13,inf,inf,6.789,835.851
13,14,inf,inf,6.799,831.38
14,15,inf,inf,6.789,830.936
15,16,inf,inf,6.901,830.243
16,17,inf,inf,6.75,831.586
17,18,inf,inf,6.756,830.58
18,19,inf,inf,6.934,839.212
19,20,inf,inf,6.849,832.376
20,21,inf,inf,6.789,837.046
21,22,inf,inf,6.823,832.549
22,23,inf,inf,6.87,829.884
23,24,inf,inf,6.785,830.274
24,25,inf,inf,6.883,830.079
25,26,inf,inf,6.766,829.283
26,27,inf,inf,6.799,833.316
27,28,inf,inf,6.778,835.464
28,29,inf,inf,6.933,831.716
29,30,inf,inf,6.778,833.67
30,31,inf,inf,6.833,829.761
31,32,inf,inf,6.905,829.774
32,33,inf,inf,6.739,829.179
33,34,inf,inf,6.836,835.72
34,35,inf,inf,6.944,834.649
35,36,inf,inf,6.798,829.939
36,37,inf,inf,6.73,829.684
37,38,inf,inf,6.787,828.915
38,39,inf,inf,6.823,837.28
39,40,inf,inf,6.862,823.001
40,41,inf,inf,6.795,828.779
41,42,inf,inf,6.974,838.431
42,43,inf,inf,6.83,828.313
43,44,inf,inf,6.856,829.117
44,45,inf,inf,6.759,827.862
45,46,inf,inf,6.782,829.505
46,47,inf,inf,6.816,829.455
47,48,inf,inf,6.844,828.803
48,49,inf,inf,6.795,834.067
49,50,inf,inf,6.833,828.794
50,51,inf,inf,6.853,829.75
51,52,inf,inf,6.847,828.909
52,53,inf,inf,6.775,827.798
53,54,inf,inf,6.856,830.615
54,55,inf,inf,7.008,829.903
55,56,inf,inf,6.791,829.073
56,57,inf,inf,6.765,843.509
57,58,inf,inf,6.777,828.693
58,59,inf,inf,6.787,828.656
59,60,inf,inf,6.767,827.958
60,61,inf,inf,6.827,827.004
61,62,inf,inf,6.905,828.197
62,63,inf,inf,6.837,827.584
63,64,inf,inf,6.773,832.342
64,65,inf,inf,6.839,828.316
65,66,inf,inf,6.825,828.958
66,67,inf,inf,6.851,829.817
67,68,inf,inf,6.827,827.586
68,69,inf,inf,6.82,826.943
69,70,inf,inf,6.818,833.864
70,71,inf,inf,6.805,832.698
71,72,inf,inf,6.81,848.322
72,73,inf,inf,6.792,833.269
73,74,inf,inf,6.821,826.916
74,75,inf,inf,6.788,828.848
75,76,inf,inf,6.861,827.519
76,77,inf,inf,6.902,828.711
77,78,inf,inf,6.902,835.387
78,79,inf,inf,6.851,827.019
79,80,inf,inf,6.824,826.759
80,81,inf,inf,6.834,826.859
81,82,inf,inf,6.841,827.085
82,83,inf,inf,6.784,826.457
83,84,inf,inf,6.752,846.543
84,85,inf,inf,6.815,830.724
85,86,inf,inf,6.988,824.74
86,87,inf,inf,6.99,820.68
87,88,inf,inf,6.992,821.262
88,89,inf,inf,6.774,822.6
89,90,inf,inf,6.791,823.255
90,91,inf,inf,6.799,826.321
91,92,inf,inf,6.799,825.065
92,93,inf,inf,6.822,834.814
93,94,inf,inf,6.778,827.902
94,95,inf,inf,6.794,829.949
95,96,inf,inf,6.825,826.229
96,97,inf,inf,6.938,827.804
97,98,inf,inf,6.871,828.257
98,99,inf,inf,6.836,826.634
99,100,inf,inf,6.809,831.664
100,101,inf,inf,6.795,824.787
101,102,inf,inf,6.796,824.657
102,103,inf,inf,6.801,824.623
103,104,inf,inf,6.789,827.579
104,105,inf,inf,6.81,824.812
105,106,inf,inf,6.894,832.676
106,107,inf,inf,6.835,830.374
107,108,inf,inf,6.939,824.885
108,109,inf,inf,6.821,824.301
109,110,inf,inf,6.767,824.313
110,111,inf,inf,6.791,835.135
111,112,inf,inf,6.788,822.777
112,113,inf,inf,6.804,823.042
113,114,inf,inf,6.85,828.982
114,115,inf,inf,6.857,825.09
115,116,inf,inf,6.804,825.034
116,117,inf,inf,6.791,824.687
117,118,inf,inf,6.797,825.194
118,119,inf,inf,6.778,823.99
119,120,inf,inf,6.894,823.496
120,121,inf,inf,6.772,821.861
121,122,inf,inf,6.779,827.97
122,123,inf,inf,6.899,824.378
123,124,inf,inf,6.795,823.492
124,125,inf,inf,6.852,825.771
125,126,inf,inf,6.864,821.67
126,127,inf,inf,6.789,825.877
127,128,inf,inf,6.79,824.727
128,129,inf,inf,6.887,828.671
129,130,inf,inf,6.819,820.74
130,131,inf,inf,6.863,822.574
131,132,inf,inf,6.742,821.754
132,133,inf,inf,6.834,821.281
133,134,inf,inf,6.763,822.24
134,135,inf,inf,6.769,820.239
135,136,inf,inf,6.765,829.681
136,137,inf,inf,6.781,817.413
137,138,inf,inf,6.787,816.309
138,139,inf,inf,6.745,828.428
139,140,inf,inf,7.013,821.271
140,141,inf,inf,6.83,819.493
141,142,inf,inf,6.787,824.704
142,143,inf,inf,6.826,824.97
143,144,inf,inf,6.788,821.387
144,145,inf,inf,6.808,822.462
145,146,inf,inf,6.786,819.301
146,147,inf,inf,6.761,820.235
147,148,inf,inf,6.827,821.36
148,149,inf,inf,6.765,821.337
149,150,inf,inf,6.84,823.448
150,151,inf,inf,6.903,831.163
151,152,inf,inf,6.984,822.345
152,153,inf,inf,6.886,822.777
153,154,inf,inf,6.785,820.91
154,155,inf,inf,6.869,822.838
155,156,inf,inf,7.141,843.317
156,157,inf,inf,7.12,821.683
157,158,inf,inf,6.801,827.306
158,159,inf,inf,6.831,819.988
159,160,inf,inf,6.86,819.147
160,161,inf,inf,6.824,816.192
161,162,inf,inf,6.795,816.039
162,163,inf,inf,6.804,823.859
163,164,inf,inf,6.995,822.028
164,165,inf,inf,6.894,824.402
165,166,inf,inf,6.85,818.648
166,167,inf,inf,6.938,816.591
167,168,inf,inf,6.788,818.263
168,169,inf,inf,6.832,818.383
169,170,inf,inf,6.83,816.795
170,171,inf,inf,6.775,817.464
171,172,inf,inf,6.798,822.838
172,173,inf,inf,6.808,817.607
173,174,inf,inf,6.76,821.719
174,175,inf,inf,6.798,816.355
175,176,inf,inf,7.318,818.42
176,177,inf,inf,6.794,819.206
177,178,inf,inf,6.792,826.404
178,179,inf,inf,6.852,819.043
179,180,inf,inf,6.798,824.822
180,181,inf,inf,6.861,818.357
181,182,inf,inf,6.792,818.761
182,183,inf,inf,6.782,829.542
183,184,inf,inf,6.821,818.312
184,185,inf,inf,6.918,819.041
185,186,inf,inf,6.776,815.843
186,187,inf,inf,6.828,824.214
187,188,inf,inf,6.773,818.414
188,189,inf,inf,6.841,816.868
189,190,inf,inf,6.826,819.428
190,191,inf,inf,6.793,817.448
191,192,inf,inf,6.836,819.345
192,193,inf,inf,6.842,822.395
193,194,inf,inf,6.903,824.812
194,195,inf,inf,6.875,830.928
195,196,inf,inf,6.971,822.523
196,197,inf,inf,6.825,819.546
197,198,inf,inf,6.811,817.686
198,199,inf,inf,6.894,820.136
199,200,inf,inf,6.851,822.214
