,#iteration,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,1,inf,inf,11.018,1627.722
1,2,inf,inf,7.865,1559.545
2,3,inf,inf,7.341,1536.082
3,4,inf,inf,7.547,1534.652
4,5,inf,inf,7.558,1538.838
5,6,inf,inf,7.538,1533.748
6,7,inf,inf,7.578,1517.67
7,8,inf,inf,7.429,1515.387
8,9,inf,inf,7.499,1510.398
9,10,inf,inf,7.326,1516.486
10,11,inf,inf,7.507,1541.491
11,12,inf,inf,7.408,1509.471
12,13,inf,inf,7.443,1523.032
13,14,inf,inf,7.452,1497.764
14,15,inf,inf,7.581,1501.606
15,16,inf,inf,7.362,1496.741
16,17,inf,inf,7.514,1499.617
17,18,inf,inf,7.295,1494.283
18,19,inf,inf,7.474,1500.377
19,20,inf,inf,7.083,1503.075
20,21,inf,inf,6.785,1520.927
21,22,inf,inf,7.566,1519.872
22,23,inf,inf,7.214,1499.074
23,24,inf,inf,7.5,1515.454
24,25,inf,inf,8.717,1506.356
25,26,inf,inf,7.572,1501.114
26,27,inf,inf,7.42,1514.907
27,28,inf,inf,7.579,1500.173
28,29,inf,inf,7.542,1487.522
29,30,inf,inf,7.284,1476.374
30,31,inf,inf,7.545,1481.017
31,32,inf,inf,7.421,1512.946
32,33,inf,inf,8.809,1452.656
33,34,inf,inf,7.486,1439.122
34,35,inf,inf,7.171,1446.058
35,36,inf,inf,7.314,1446.602
36,37,inf,inf,7.453,1459.02
37,38,inf,inf,7.32,1440.384
38,39,inf,inf,6.871,1447.966
39,40,inf,inf,7.529,1511.508
40,41,inf,inf,7.27,1509.048
41,42,inf,inf,6.901,1496.866
42,43,inf,inf,7.299,1499.162
43,44,inf,inf,7.272,1498.264
44,45,inf,inf,7.4,1517.349
45,46,inf,inf,7.103,1520.15
46,47,inf,inf,7.098,1507.304
47,48,inf,inf,7.317,1513.049
48,49,inf,inf,7.388,1514.807
49,50,inf,inf,7.085,1544.908
50,51,inf,inf,11.761,1522.49
51,52,inf,inf,7.43,1526.477
52,53,inf,inf,7.492,1547.308
53,54,inf,inf,7.525,1518.695
54,55,inf,inf,7.461,1514.484
55,56,inf,inf,7.432,1508.085
56,57,inf,inf,7.16,1513.713
57,58,inf,inf,7.601,1502.071
58,59,inf,inf,7.067,1527.902
59,60,inf,inf,7.239,1521.224
60,61,inf,inf,7.481,1542.182
61,62,inf,inf,7.501,1520.638
62,63,inf,inf,7.547,1524.26
63,64,inf,inf,7.511,1534.019
64,65,inf,inf,7.604,1530.12
65,66,inf,inf,7.502,1518.952
66,67,inf,inf,7.201,1525.85
67,68,inf,inf,7.535,1524.229
68,69,inf,inf,7.52,1520.214
69,70,inf,inf,7.496,1521.753
70,71,inf,inf,7.506,1533.139
71,72,inf,inf,7.564,1524.223
72,73,inf,inf,7.529,1516.612
73,74,inf,inf,7.39,1527.866
74,75,inf,inf,7.493,1530.908
75,76,inf,inf,7.509,1534.414
76,77,inf,inf,7.483,1525.401
77,78,inf,inf,7.522,1522.232
78,79,inf,inf,7.53,1537.892
79,80,inf,inf,7.585,1534.887
80,81,inf,inf,7.511,1530.676
81,82,inf,inf,7.525,1526.805
82,83,inf,inf,7.513,1529.232
83,84,inf,inf,7.32,1533.823
84,85,inf,inf,7.527,1532.305
85,86,inf,inf,7.544,1532.125
86,87,inf,inf,7.457,1532.61
87,88,inf,inf,7.58,1528.88
88,89,inf,inf,7.405,1526.663
89,90,inf,inf,7.469,1552.49
90,91,inf,inf,7.496,1525.377
91,92,inf,inf,7.559,1521.779
92,93,inf,inf,7.469,1511.47
93,94,inf,inf,7.574,1519.392
94,95,inf,inf,7.651,1518.078
95,96,inf,inf,7.473,1519.341
96,97,inf,inf,6.785,1496.201
97,98,inf,inf,7.524,1521.018
98,99,inf,inf,7.51,1528.837
99,100,inf,inf,7.275,1535.784
100,101,inf,inf,7.424,1526.859
101,102,inf,inf,7.516,1532.57
102,103,inf,inf,7.476,1531.95
103,104,inf,inf,7.528,1538.662
104,105,inf,inf,7.558,1540.45
105,106,inf,inf,7.419,1528.255
106,107,inf,inf,7.549,1532.046
107,108,inf,inf,7.56,1528.57
108,109,inf,inf,7.499,1527.492
109,110,inf,inf,7.531,1532.551
110,111,inf,inf,7.503,1525.846
111,112,inf,inf,7.569,1541.619
112,113,inf,inf,7.533,1529.336
113,114,inf,inf,7.536,1517.911
114,115,inf,inf,7.553,1528.851
115,116,inf,inf,7.514,1538.01
116,117,inf,inf,7.538,1530.176
117,118,inf,inf,7.653,1538.16
118,119,inf,inf,7.594,1541.598
119,120,inf,inf,7.599,1551.381
120,121,inf,inf,7.535,1538.418
121,122,inf,inf,7.532,1538.414
122,123,inf,inf,7.557,1545.594
123,124,inf,inf,7.576,1536.78
124,125,inf,inf,7.535,1539.324
125,126,inf,inf,7.536,1544.437
126,127,inf,inf,7.508,1543.058
127,128,inf,inf,7.663,1534.612
128,129,inf,inf,7.501,1554.8
129,130,inf,inf,7.486,1531.509
130,131,inf,inf,7.532,1539.777
131,132,inf,inf,7.54,1533.267
132,133,inf,inf,7.518,1532.972
133,134,inf,inf,7.492,1532.733
134,135,inf,inf,7.581,1538.659
135,136,inf,inf,7.531,1532.914
136,137,inf,inf,7.472,1532.993
137,138,inf,inf,7.548,1532.671
138,139,inf,inf,7.575,1544.319
139,140,inf,inf,7.523,1533.922
140,141,inf,inf,7.61,1532.405
141,142,inf,inf,7.515,1527.018
142,143,inf,inf,7.617,1521.133
143,144,inf,inf,7.054,1524.811
144,145,inf,inf,7.569,1533.11
145,146,inf,inf,7.297,1517.764
146,147,inf,inf,7.325,1520.563
147,148,inf,inf,7.608,1507.989
148,149,inf,inf,7.486,1524.701
149,150,inf,inf,7.437,1515.012
150,151,inf,inf,7.551,1523.815
151,152,inf,inf,7.521,1518.75
152,153,inf,inf,7.509,1516.564
153,154,inf,inf,7.566,1521.397
154,155,inf,inf,7.472,1520.621
155,156,inf,inf,7.519,1522.34
156,157,inf,inf,7.236,1528.221
157,158,inf,inf,7.508,1532.459
158,159,inf,inf,7.524,1545.22
159,160,inf,inf,7.564,1537.095
160,161,inf,inf,7.576,1536.268
161,162,inf,inf,7.518,1537.311
162,163,inf,inf,7.559,1545.979
163,164,inf,inf,7.544,1538.658
164,165,inf,inf,7.624,1544.722
165,166,inf,inf,7.577,1537.128
166,167,inf,inf,7.367,1554.979
167,168,inf,inf,7.466,1534.534
168,169,inf,inf,7.521,1537.423
169,170,inf,inf,7.527,1543.802
170,171,inf,inf,7.516,1532.954
171,172,inf,inf,7.51,1535.525
