,#iteration,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,1,inf,inf,10.242,1582.552
1,2,inf,inf,7.743,1516.826
2,3,inf,inf,7.543,1513.64
3,4,inf,inf,7.283,1521.976
4,5,inf,inf,7.218,1510.651
5,6,inf,inf,7.395,1527.129
6,7,inf,inf,7.345,1526.424
7,8,inf,inf,7.457,1526.005
8,9,inf,inf,7.522,1510.018
9,10,inf,inf,7.533,1512.379
10,11,inf,inf,7.555,1518.238
11,12,inf,inf,7.574,1510.973
12,13,inf,inf,7.02,1528.438
13,14,inf,inf,7.53,1514.086
14,15,inf,inf,7.417,1520.855
15,16,inf,inf,7.596,1552.743
16,17,inf,inf,7.121,1515.009
17,18,inf,inf,7.559,1524.035
18,19,inf,inf,7.548,1517.619
19,20,inf,inf,7.548,1508.809
20,21,inf,inf,7.37,1437.026
21,22,inf,inf,7.443,1412.092
22,23,inf,inf,7.333,1416.97
23,24,inf,inf,7.418,1449.245
24,25,inf,inf,6.978,1450.395
25,26,inf,inf,7.569,1459.537
26,27,inf,inf,7.342,1454.327
27,28,inf,inf,7.319,1445.514
28,29,inf,inf,7.17,1466.084
29,30,inf,inf,7.436,1450.131
30,31,inf,inf,7.343,1451.091
31,32,inf,inf,7.464,1495.859
32,33,inf,inf,7.509,1507.518
33,34,inf,inf,7.343,1510.721
34,35,inf,inf,7.502,1504.848
35,36,inf,inf,6.423,1495.419
36,37,inf,inf,7.598,1510.611
37,38,inf,inf,6.861,1498.746
38,39,inf,inf,7.421,1507.91
39,40,inf,inf,7.274,1551.13
40,41,inf,inf,7.361,1516.254
41,42,inf,inf,7.542,1513.685
42,43,inf,inf,7.334,1539.907
43,44,inf,inf,7.571,1525.402
44,45,inf,inf,7.525,1538.59
45,46,inf,inf,7.56,1538.222
46,47,inf,inf,7.601,1523.065
47,48,inf,inf,7.414,1536.832
48,49,inf,inf,7.586,1536.461
49,50,inf,inf,7.55,1535.618
50,51,inf,inf,7.484,1531.262
51,52,inf,inf,7.571,1538.104
52,53,inf,inf,7.514,1538.197
53,54,inf,inf,6.859,1529.281
54,55,inf,inf,7.59,1562.202
55,56,inf,inf,7.553,1545.1
56,57,inf,inf,7.632,1529.852
57,58,inf,inf,7.528,1522.298
58,59,inf,inf,7.543,1527.138
59,60,inf,inf,7.573,1537.594
60,61,inf,inf,7.595,1537.185
61,62,inf,inf,7.451,1530.08
62,63,inf,inf,7.054,1515.285
63,64,inf,inf,7.55,1530.162
64,65,inf,inf,7.276,1517.127
65,66,inf,inf,7.945,1501.455
66,67,inf,inf,7.37,1486.403
67,68,inf,inf,7.639,1493.377
68,69,inf,inf,7.324,1459.43
